,Number,Name,Area,AddtionalInfo,address,subject,Phone
44,24,시화 이마트점,경기도,,경기도 시흥시 정왕대로 210,"평일, 주말, 공휴일 동일 10:00~23:00 (매월 2,4주 일요일 이마트 휴무)",031.431.8497
45,23,삼성DSR점,경기도,,경기도 화성시 삼성1로5길 6,"(평일) 08:00~23:00 / (주말,공휴일) 11:30~19:00",031.613.9377
46,22,김포사우점,경기도,,"경기 김포시 사우동 924 제우스 프라자 109호, 110호 일부","평일,주말,공휴일 동일  08:00 ~ 23:00",031.985.8497
47,21,오산시청,경기도,,경기도 오산시 원동 811-6 103호,"평일,주말 08:00~24:00",031.374.8497
48,20,분당 양지점,경기도,,경기 성남시 분당구 수내동 58-1,"평일 08:00 ~ 23:00 / 주말, 공휴일 09:00 ~ 23:00",031.713.8570
49,19,분당KT계원점,경기도,,경기 성남시 분당구 정자동 139-7,"평일 08:00~22:30 / 토,일 10:00~22:00",031.711.8397
50,18,수지구청점,경기도,,경기 용인시 수지구 풍덕천동 1195,09:00~23:00,031.897.8497
51,17,탄현제니스스퀘어점,경기도,,경기도 고양시 일산서구 탄현동 297번지 169호,일~목 07:00~23:00 / 금~토 07:00~24:00,031.916.3123
52,16,안양예술공원점,경기도,,안양시 만안구 석수동 825,"평일,공휴일 7시~23시 /토,일 24시",031.473.8297
53,15,대방트리플라온,경기도,,경기도 고양시 일산동구 중산동 1682 B동 1,"8시~23시 (주말,공휴일 동일)",031.926.7780
54,14,광교도청역점,경기도,,"경기도 수원시 영통구 이의동 1351-1 태영데시앙 104,105호","평일,주말(공휴일포함) 08:00-22:00",031.214.8497
55,13,부천소풍점,경기도,,경기도 부천시 원미구 송내대로 239  (상동 소풍 2층 F01-2호),"평일,주말 동일 10:30-22:00",032.624.7721
56,12,평택 서정점,경기도,,경기도 평택시 서정동 801-9,평일(월-금) +주말 + 공휴일 08:00 -24:00,031.611.4532
57,11,수원역 로데오점,경기도,,경기도 수원시 팔달구 매산로1가 57-69,평일(월-금) +주말 + 공휴일 08:00 -24:00,031.256.5957
58,10,오산대점,경기도,,경기도 오산시 궐동 93-2 모터프라자1층,평일 08:30-23:00 / 주말 10:00-23:00,031.373.8497
59,9,수지 성복점,경기도,,경기도 용인시 수지구 성복동 401,"평일,주말 08:00-22:00",031.262.8497
